Data;CDI;IBOV;IRFM;IMAB;PTAXV
21/10/2025;0,00055;-0,00293;0,00123;0,00136;0,00143
20/10/2025;0,00055;0,00775;0,00211;0,00295;-0,01138
17/10/2025;0,00055;0,00842;0,00015;-0,00104;0,00066
16/10/2025;0,00055;-0,00283;-0,00001;-0,00109;-0,00202
15/10/2025;0,00055;0,00650;0,00168;0,00269;-0,00942
14/10/2025;0,00055;-0,00071;0,00118;0,00016;0,00646
13/10/2025;0,00055;0,00784;0,00081;-0,00110;0,00336
10/10/2025;0,00055;-0,00725;-0,00088;-0,00203;0,01696
09/10/2025;0,00055;-0,00307;0,00213;0,00046;0,00208
08/10/2025;0,00055;0,00558;0,00095;0,00110;0,00120
07/10/2025;0,00055;-0,01568;-0,00154;-0,00258;0,00257
06/10/2025;0,00055;-0,00411;0,00135;0,00028;-0,00508
03/10/2025;0,00055;0,00174;-0,00042;0,00000;0,00092
02/10/2025;0,00055;-0,01078;-0,00175;-0,00210;0,00453
01/10/2025;0,00055;-0,00492;0,00023;0,00113;0,00041
30/09/2025;0,00055;-0,00068;0,00135;-0,00056;-0,00081
29/09/2025;0,00055;0,00612;-0,00022;-0,00216;-0,00404
26/09/2025;0,00055;0,00096;0,00070;0,00075;0,00037
25/09/2025;0,00055;-0,00809;-0,00075;-0,00038;0,00589
24/09/2025;0,00055;0,00046;-0,00007;0,00046;0,00092
23/09/2025;0,00055;0,00906;0,00204;0,00389;-0,00737
22/09/2025;0,00055;-0,00518;-0,00119;-0,00286;0,00340
19/09/2025;0,00055;0,00252;0,00017;-0,00187;0,00502
18/09/2025;0,00055;-0,00065;-0,00052;-0,00211;-0,00002
17/09/2025;0,00055;0,01063;0,00122;0,00213;-0,00160
16/09/2025;0,00055;0,00359;0,00184;0,00297;-0,00210
15/09/2025;0,00055;0,00896;0,00189;0,00161;-0,00874
12/09/2025;0,00055;-0,00614;0,00006;0,00067;-0,00336
11/09/2025;0,00055;0,00563;0,00107;0,00131;-0,00490
10/09/2025;0,00055;0,00515;0,00071;0,00299;-0,00286
09/09/2025;0,00055;-0,00122;0,00048;0,00089;0,00000
08/09/2025;0,00055;-0,00595;0,00100;0,00230;0,00574
05/09/2025;0,00055;0,01168;0,00237;0,00223;-0,01134
04/09/2025;0,00055;0,00808;0,00083;-0,00030;0,00187
03/09/2025;0,00055;-0,00336;0,00070;-0,00167;-0,00357
02/09/2025;0,00055;-0,00671;-0,00115;-0,00092;0,00555
01/09/2025;0,00055;-0,00098;-0,00002;-0,00393;0,00210
29/08/2025;0,00055;0,00264;-0,00040;-0,00182;0,00275
28/08/2025;0,00055;0,01325;0,00279;0,00296;-0,00575
27/08/2025;0,00055;0,01041;0,00024;0,00029;0,00387
26/08/2025;0,00055;-0,00184;-0,00016;0,00081;0,00081
25/08/2025;0,00055;0,00041;0,00155;0,00254;-0,00401
22/08/2025;0,00055;0,02571;0,00304;0,00462;-0,00795
21/08/2025;0,00055;-0,00116;-0,00146;-0,00200;0,00186
20/08/2025;0,00055;0,00174;0,00211;-0,00121;0,00018
19/08/2025;0,00055;-0,02104;-0,00358;-0,00762;0,01036
18/08/2025;0,00055;0,00720;-0,00105;-0,00255;0,00421
15/08/2025;0,00055;-0,00011;0,00093;-0,00049;-0,00309
14/08/2025;0,00055;-0,00243;0,00082;0,00114;0,00310
13/08/2025;0,00055;-0,00889;-0,00056;0,00082;-0,00229
12/08/2025;0,00055;0,01689;0,00200;-0,00037;-0,00773
11/08/2025;0,00055;-0,00213;0,00205;0,00164;0,00404
08/08/2025;0,00055;-0,00450;0,00023;0,00091;-0,00703
07/08/2025;0,00055;0,01479;0,00231;0,00503;-0,00299
06/08/2025;0,00055;0,01041;0,00127;0,00062;-0,00575
05/08/2025;0,00055;0,00135;-0,00047;-0,00060;0,00011
04/08/2025;0,00055;0,00403;0,00202;0,00084;-0,00583
01/08/2025;0,00055;-0,00476;0,00277;0,00285;-0,01044
31/07/2025;0,00055;-0,00685;-0,00178;-0,00127;-0,00023
30/07/2025;0,00055;0,00952;-0,00039;0,00028;0,00484
29/07/2025;0,00055;0,00451;0,00330;0,00314;-0,00202
28/07/2025;0,00055;-0,01045;0,00072;0,00054;0,00814
25/07/2025;0,00055;-0,00211;0,00032;-0,00083;0,00339
24/07/2025;0,00055;-0,01153;-0,00047;0,00083;-0,00537
23/07/2025;0,00055;0,00995;0,00059;0,00102;-0,00309
22/07/2025;0,00055;-0,00098;0,00195;0,00028;0,00151
21/07/2025;0,00055;0,00589;0,00147;0,00001;0,00287
18/07/2025;0,00055;-0,01610;-0,00025;-0,00154;-0,00486
17/07/2025;0,00055;0,00040;0,00236;0,00216;0,00027
16/07/2025;0,00055;0,00192;-0,00066;-0,00302;0,00263
15/07/2025;0,00055;-0,00035;-0,00181;-0,00352;-0,00034
14/07/2025;0,00055;-0,00653;-0,00038;-0,00092;-0,00228
11/07/2025;0,00055;-0,00407;0,00065;0,00244;0,00521
10/07/2025;0,00055;-0,00536;-0,00236;-0,00085;0,01477
09/07/2025;0,00055;-0,01308;0,00032;-0,00235;0,00101
08/07/2025;0,00055;-0,00134;0,00044;-0,00264;0,00035
07/07/2025;0,00055;-0,01256;-0,00093;-0,00231;0,00854
04/07/2025;0,00055;0,00238;-0,00020;-0,00036;-0,00218
03/07/2025;0,00055;0,01350;-0,00036;0,00063;-0,00558
02/07/2025;0,00055;-0,00358;-0,00020;-0,00080;0,00002
01/07/2025;0,00055;0,00501;0,00062;0,00115;-0,00110
30/06/2025;0,00055;0,01453;0,00468;0,00574;-0,00343
27/06/2025;0,00055;-0,00181;0,00067;0,00176;-0,00700
26/06/2025;0,00055;0,00991;0,00175;0,00246;-0,00509
25/06/2025;0,00055;-0,01018;-0,00045;-0,00089;0,00890
24/06/2025;0,00055;0,00450;0,00117;-0,00134;-0,00498
23/06/2025;0,00055;-0,00412;0,00065;-0,00099;0,00466
20/06/2025;0,00054;-0,01154;0,00247;0,00338;0,00142
18/06/2025;0,00054;-0,00089;0,00030;0,00138;0,00194
17/06/2025;0,00054;-0,00298;-0,00091;0,00067;-0,00635
16/06/2025;0,00054;0,01489;0,00138;0,00071;-0,00951
13/06/2025;0,00054;-0,00426;0,00127;0,00190;0,00477
12/06/2025;0,00054;0,00489;0,00012;0,00031;-0,00004
11/06/2025;0,00054;0,00507;0,00061;0,00138;-0,00301
10/06/2025;0,00054;0,00543;0,00199;-0,00254;-0,00364
09/06/2025;0,00054;-0,00296;0,00186;-0,00094;-0,00334
06/06/2025;0,00054;-0,00098;0,00144;0,00122;-0,00039
05/06/2025;0,00054;-0,00558;-0,00225;-0,00118;-0,00644
04/06/2025;0,00054;-0,00396;0,00068;0,00146;-0,00639
03/06/2025;0,00054;0,00556;0,00107;0,00016;-0,00427
02/06/2025;0,00054;-0,00175;-0,00085;-0,00173;-0,00263
30/05/2025;0,00054;-0,01088;-0,00121;-0,00274;0,00934
29/05/2025;0,00054;-0,00255;0,00041;-0,00001;-0,00662
28/05/2025;0,00054;-0,00469;-0,00074;-0,00215;0,00702
27/05/2025;0,00054;0,01017;0,00358;0,00370;-0,00141
26/05/2025;0,00054;0,00226;0,00088;0,00072;-0,00550
23/05/2025;0,00054;0,00402;0,00038;0,00090;0,00961
22/05/2025;0,00054;-0,00442;0,00186;0,00245;-0,00320
21/05/2025;0,00054;-0,01590;-0,00154;-0,00319;-0,00087
20/05/2025;0,00054;0,00339;-0,00033;-0,00176;0,00051
19/05/2025;0,00054;0,00323;0,00169;0,00360;-0,00587
16/05/2025;0,00054;-0,00106;0,00266;0,00229;0,01060
15/05/2025;0,00054;0,00659;-0,00010;0,00217;0,00406
14/05/2025;0,00054;-0,00389;-0,00156;-0,00268;-0,00288
13/05/2025;0,00054;0,01757;-0,00055;0,00132;-0,00986
12/05/2025;0,00054;0,00038;-0,00120;-0,00034;0,00550
09/05/2025;0,00054;0,00206;0,00137;0,00247;-0,00614
08/05/2025;0,00053;0,02124;0,00231;0,00550;-0,00898
07/05/2025;0,00053;-0,00088;0,00039;0,00250;0,00288
06/05/2025;0,00053;0,00018;0,00307;0,00446;0,01221
05/05/2025;0,00053;-0,01215;-0,00108;-0,00240;0,00223
02/05/2025;0,00053;0,00050;-0,00033;0,00006;-0,00378
30/04/2025;0,00053;-0,00019;0,00274;0,00227;0,00250
29/04/2025;0,00053;0,00057;0,00016;0,00133;-0,00378
28/04/2025;0,00053;0,00205;0,00084;0,00187;-0,00290
25/04/2025;0,00053;0,00118;-0,00089;0,00183;0,00190
24/04/2025;0,00053;0,01788;0,00472;0,00584;-0,00250
23/04/2025;0,00053;0,01343;0,00423;0,00348;-0,01071
22/04/2025;0,00053;0,00628;-0,00026;-0,00485;-0,01815
17/04/2025;0,00053;0,01040;0,00167;0,00093;-0,00423
16/04/2025;0,00053;-0,00719;0,00098;0,00048;0,00172
15/04/2025;0,00053;-0,00161;-0,00096;-0,00164;0,00483
14/04/2025;0,00053;0,01387;0,00428;0,00356;-0,00531
11/04/2025;0,00053;0,01051;0,00379;0,00610;-0,00639
10/04/2025;0,00053;-0,01128;-0,00051;-0,00312;-0,02459
09/04/2025;0,00053;0,03118;-0,00136;-0,00193;0,02084
08/04/2025;0,00053;-0,01319;-0,00187;-0,00261;0,00834
07/04/2025;0,00053;-0,01311;0,00013;-0,00140;0,01904
04/04/2025;0,00053;-0,02962;0,00208;0,00127;0,03050
03/04/2025;0,00053;-0,00038;0,00752;0,00879;-0,01504
02/04/2025;0,00053;0,00033;0,00001;-0,00029;-0,00224
01/04/2025;0,00053;0,00682;0,00222;-0,00107;-0,00646
31/03/2025;0,00053;-0,01246;0,00173;0,00286;-0,00413
28/03/2025;0,00053;-0,00936;-0,00070;0,00020;0,00324
27/03/2025;0,00053;0,00475;0,00315;0,00071;0,00307
26/03/2025;0,00053;0,00342;-0,00149;-0,00033;0,00537
25/03/2025;0,00053;0,00568;-0,00107;0,00061;-0,00716
24/03/2025;0,00053;-0,00773;-0,00094;-0,00227;0,00283
21/03/2025;0,00053;0,00296;-0,00113;0,00117;0,01083
20/03/2025;0,00049;-0,00418;-0,00378;-0,00406;-0,00051
19/03/2025;0,00049;0,00786;0,00124;0,00291;-0,00343
18/03/2025;0,00049;0,00490;0,00184;0,00305;-0,00403
17/03/2025;0,00049;0,01455;0,00234;0,00047;-0,00587
14/03/2025;0,00049;0,02643;0,00015;-0,00143;-0,01225
13/03/2025;0,00049;0,01432;0,00260;0,00270;-0,00235
12/03/2025;0,00049;0,00288;-0,00107;-0,00076;-0,00134
11/03/2025;0,00049;-0,00813;0,00378;0,00400;0,00718
10/03/2025;0,00049;-0,00412;-0,00137;0,00024;0,00419
07/03/2025;0,00049;0,01359;0,00394;0,00225;0,00346
06/03/2025;0,00049;0,00253;-0,00017;0,00009;-0,00734
05/03/2025;0,00049;0,00201;0,00477;0,00593;-0,00981
28/02/2025;0,00049;-0,01602;-0,00391;-0,00209;0,00447
27/02/2025;0,00049;0,00024;-0,00020;-0,00311;0,00815
26/02/2025;0,00049;-0,00961;-0,00330;-0,00375;-0,00038
25/02/2025;0,00049;0,00461;0,00020;0,00300;0,00910
24/02/2025;0,00049;-0,01358;-0,00095;-0,00570;0,00405
21/02/2025;0,00049;-0,00370;0,00310;0,00194;0,00014
20/02/2025;0,00049;0,00229;0,00050;0,00136;-0,00119
19/02/2025;0,00049;-0,00952;-0,00169;-0,00125;0,00190
18/02/2025;0,00049;-0,00016;0,00052;-0,00021;-0,00221
17/02/2025;0,00049;0,00260;0,00433;0,00371;-0,00311
14/02/2025;0,00049;0,02698;0,00404;0,00728;-0,00874
13/02/2025;0,00049;0,00378;0,00181;0,00160;0,00133
12/02/2025;0,00049;-0,01692;-0,00032;-0,00033;-0,00133
11/02/2025;0,00049;0,00757;0,00218;0,00207;-0,00035
10/02/2025;0,00049;0,00764;0,00014;0,00037;0,00436
07/02/2025;0,00049;-0,01272;-0,00215;-0,00050;-0,00517
06/02/2025;0,00049;0,00550;-0,00015;0,00205;-0,00243
05/02/2025;0,00049;0,00309;-0,00206;-0,00300;0,00121
04/02/2025;0,00049;-0,00653;0,00131;-0,00147;-0,01295
03/02/2025;0,00049;-0,00130;0,00268;0,00315;0,00662
31/01/2025;0,00049;-0,00613;0,00115;-0,00135;-0,01195
30/01/2025;0,00046;0,02819;0,00637;0,01111;0,00700
29/01/2025;0,00046;-0,00502;-0,00082;-0,00046;-0,00567
28/01/2025;0,00046;-0,00646;0,00089;0,00045;-0,00577
27/01/2025;0,00046;0,01972;0,00163;0,00027;0,00589
24/01/2025;0,00046;-0,00030;-0,00021;0,00192;-0,00798
23/01/2025;0,00046;-0,00397;-0,00217;-0,00172;-0,00461
22/01/2025;0,00046;-0,00298;0,00149;0,00108;-0,01267
21/01/2025;0,00046;0,00393;0,00004;-0,00349;-0,00096
20/01/2025;0,00046;0,00413;0,00253;-0,00196;-0,00183
17/01/2025;0,00046;0,00921;-0,00129;-0,00351;0,00476
16/01/2025;0,00046;-0,01155;-0,00259;-0,00229;-0,00091
