Data;Moderada
17/10/2025;0,00106
16/10/2025;-0,00044
15/10/2025;0,00241
14/10/2025;0,00015
13/10/2025;0,00143
10/10/2025;-0,00174
09/10/2025;-0,00003
08/10/2025;0,00180
07/10/2025;-0,00330
06/10/2025;-0,00021
03/10/2025;0,00066
02/10/2025;-0,00214
01/10/2025;-0,00009
30/09/2025;0,00019
29/09/2025;0,00096
26/09/2025;0,00070
25/09/2025;-0,00158
24/09/2025;0,00008
23/09/2025;0,00317
22/09/2025;-0,00140
19/09/2025;0,00020
18/09/2025;-0,00056
17/09/2025;0,00262
16/09/2025;0,00206
15/09/2025;0,00256
12/09/2025;-0,00055
11/09/2025;0,00192
10/09/2025;0,00211
09/09/2025;0,00010
08/09/2025;-0,00006
05/09/2025;0,00352
04/09/2025;0,00148
03/09/2025;-0,00043
02/09/2025;-0,00126
01/09/2025;-0,00111
29/08/2025;0,00014
28/08/2025;0,00369
27/08/2025;0,00217
26/08/2025;0,00029
25/08/2025;0,00090
22/08/2025;0,00648
21/08/2025;-0,00094
20/08/2025;0,00032
19/08/2025;-0,00578
18/08/2025;0,00043
15/08/2025;0,00021
14/08/2025;-0,00013
13/08/2025;-0,00076
12/08/2025;0,00362
11/08/2025;0,00014
08/08/2025;-0,00007
07/08/2025;0,00421
06/08/2025;0,00263
05/08/2025;0,00037
04/08/2025;0,00143
01/08/2025;0,00091
31/07/2025;-0,00122
30/07/2025;0,00171
29/07/2025;0,00192
28/07/2025;-0,00151
25/07/2025;-0,00044
24/07/2025;-0,00144
23/07/2025;0,00240
22/07/2025;0,00024
21/07/2025;0,00130
18/07/2025;-0,00273
17/07/2025;0,00093
16/07/2025;-0,00028
15/07/2025;-0,00076
14/07/2025;-0,00089
11/07/2025;0,00017
10/07/2025;-0,00108
09/07/2025;-0,00253
08/07/2025;-0,00077
07/07/2025;-0,00282
04/07/2025;0,00050
03/07/2025;0,00264
02/07/2025;-0,00074
01/07/2025;0,00115
30/06/2025;0,00487
27/06/2025;0,00039
26/06/2025;0,00310
25/06/2025;-0,00163
24/06/2025;0,00133
23/06/2025;-0,00050
20/06/2025;-0,00067
18/06/2025;0,00044
17/06/2025;-0,00030
16/06/2025;0,00312
13/06/2025;-0,00017
12/06/2025;0,00143
11/06/2025;0,00157
10/06/2025;0,00044
09/06/2025;-0,00033
06/06/2025;0,00019
05/06/2025;-0,00091
04/06/2025;0,00028
03/06/2025;0,00129
02/06/2025;-0,00021
30/05/2025;-0,00233
29/05/2025;0,00003
28/05/2025;-0,00124
27/05/2025;0,00290
26/05/2025;0,00090
23/05/2025;0,00153
22/05/2025;0,00025
21/05/2025;-0,00307
20/05/2025;0,00036
19/05/2025;0,00204
16/05/2025;0,00088
15/05/2025;0,00183
14/05/2025;-0,00109
13/05/2025;0,00389
12/05/2025;-0,00016
09/05/2025;0,00139
08/05/2025;0,00517
07/05/2025;0,00058
06/05/2025;0,00194
05/05/2025;-0,00231
02/05/2025;0,00017
30/04/2025;0,00104
29/04/2025;0,00064
28/04/2025;0,00134
25/04/2025;0,00094
24/04/2025;0,00534
23/04/2025;0,00325
22/04/2025;0,00033
17/04/2025;0,00230
16/04/2025;-0,00047
15/04/2025;-0,00041
14/04/2025;0,00371
11/04/2025;0,00404
10/04/2025;-0,00204
09/04/2025;0,00424
08/04/2025;-0,00204
07/04/2025;-0,00204
04/04/2025;-0,00364
